title,author,date,source,url,filename
Tech war: China poised to expand AI infrastructure to keep pace with US Stargate project,Ben Jiang,2025-01-23,South China Morning Post,https://www.scmp.com/tech/big-tech/article/3296018/tech-war-china-poised-expand-ai-infrastructure-keep-pace-us-stargate-project,Tech_war:_China_poised_to_expand_AI_infrastructure.txt
"Chinese AI disrupter DeepSeek claims top spot in US App Store, dethroning ChatGPT",Ben Jiang,2025-01-27,South China Morning Post,https://www.scmp.com/tech/tech-trends/article/3296406/chinese-ai-disrupter-deepseek-claims-top-spot-us-app-store-dethroning-chatgpt,Chinese_AI_disrupter_DeepSeek_claims_top_spot_in_U.txt
US tech stocks plunge on China AI’s unexpectedly strong showing,Khushboo Razdan,2025-01-28,South China Morning Post,https://www.scmp.com/news/china/article/3296510/us-tech-stocks-plunge-china-ais-unexpectedly-strong-showing,US_tech_stocks_plunge_on_China_AI’s_unexpectedly_s.txt
My Take | Chinese start-up DeepSeek looks set to rewrite the rules of the AI game,Zhou Xin,2025-01-28,South China Morning Post,https://www.scmp.com/opinion/china-opinion/article/3296426/chinese-start-deepseek-looks-set-rewrite-rules-ai-game,My_Take_|_Chinese_start-up_DeepSeek_looks_set_to_r.txt
Hong Kong stocks gain on valuation focus as DeepSeek sparks US tech rout,Yulu Ao,2025-01-28,South China Morning Post,https://www.scmp.com/business/china-business/article/3296531/hong-kong-stocks-gain-valuation-focus-deepseek-sparks-us-tech-rout,Hong_Kong_stocks_gain_on_valuation_focus_as_DeepSe.txt
DeepSeek’s tech breakthrough hailed in China as answer to win AI war,Ben Jiang,2025-01-28,South China Morning Post,https://www.scmp.com/tech/tech-trends/article/3296503/deepseeks-tech-breakthrough-hailed-china-answer-win-ai-war,DeepSeek’s_tech_breakthrough_hailed_in_China_as_an.txt
"DeepSeek breakthrough, Nvidia stock rout raise concerns over need for huge AI spending",Mia Castagnone,2025-01-28,South China Morning Post,https://www.scmp.com/business/china-business/article/3296562/deepseek-breakthrough-raises-investor-concerns-over-need-massive-ai-spending,"DeepSeek_breakthrough,_Nvidia_stock_rout_raise_con.txt"
"DeepSeek shows China only 6 months behind US in state-of-the-art AI, developers say",Unknown,2025-01-28,South China Morning Post,https://www.scmp.com/news/world/united-states-canada/article/3296575/deepseek-shows-china-only-6-months-behind-us-state-art-ai-developers-say,DeepSeek_shows_China_only_6_months_behind_US_in_st.txt
Chinese AI start-up DeepSeek breaks for Lunar New Year as its success rattles Wall Street,Zhou Xin,2025-01-28,South China Morning Post,https://www.scmp.com/tech/tech-trends/article/3296606/chinese-ai-start-deepseek-breaks-lunar-new-year-its-success-rocks-wall-street,Chinese_AI_start-up_DeepSeek_breaks_for_Lunar_New_.txt
White House evaluates effect of China AI app DeepSeek on national security,Unknown,2025-01-29,South China Morning Post,https://www.scmp.com/tech/tech-war/article/3296656/white-house-evaluates-effect-china-ai-app-deepseek-national-security,White_House_evaluates_effect_of_China_AI_app_DeepS.txt
"Microsoft, OpenAI investigate China’s DeepSeek over data breach",Unknown,2025-01-29,South China Morning Post,https://www.scmp.com/news/world/united-states-canada/article/3296667/microsoft-openai-investigate-chinas-deepseek-over-data-breach,"Microsoft,_OpenAI_investigate_China’s_DeepSeek_ove.txt"
Trump’s commerce secretary pick vows to keep China from using US tech to ‘compete with us’,Robert Delaney,2025-01-30,South China Morning Post,https://www.scmp.com/news/china/article/3296743/trumps-commerce-secretary-pick-vows-keep-china-using-us-tech-compete-us,Trump’s_commerce_secretary_pick_vows_to_keep_China.txt
and why is everyone talking about it?,Unknown,2025-02-04,BBC,https://www.bbc.com/news/articles/c5yv5976z9po,and_why_is_everyone_talking_about_it?.txt
DeepSeek: What lies under the bonnet of the new AI chatbot?,Unknown,2025-01-31,BBC,https://www.bbc.com/future/article/20250131-what-does-deepseeks-new-app-mean-for-the-future-of-ai,DeepSeek:_What_lies_under_the_bonnet_of_the_new_AI.txt
Australia bans DeepSeek on government devices over security risk,Unknown,2025-02-04,BBC,https://www.bbc.com/news/articles/c8d95v0nr1yo,Australia_bans_DeepSeek_on_government_devices_over.txt
'DeepSeek brought me to tears': How young Chinese find therapy in AI,Unknown,2025-02-12,BBC,https://www.bbc.com/news/articles/cy7g45g2nxno,'DeepSeek_brought_me_to_tears':_How_young_Chinese_.txt
South Korea bans new downloads of China's DeepSeek AI,Unknown,2025-02-17,BBC,https://www.bbc.com/news/articles/clyzym0vn8go,South_Korea_bans_new_downloads_of_China's_DeepSeek.txt
DeepSeek 'shared user data' with TikTok owner ByteDance,Unknown,2025-02-18,BBC,https://www.bbc.com/news/articles/c4gex0x87g4o,DeepSeek_'shared_user_data'_with_TikTok_owner_Byte.txt
Nvidia shares sink as Chinese AI app DeepSeek spooks US markets,Unknown,2025-01-28,BBC,https://www.bbc.com/news/articles/c0qw7z2v1pgo,Nvidia_shares_sink_as_Chinese_AI_app_DeepSeek_spoo.txt
DeepSeek shows AI's centre of power could shift away from US,Unknown,2025-01-28,BBC,https://www.bbc.com/news/articles/c9w5d9new0yo,DeepSeek_shows_AI's_centre_of_power_could_shift_aw.txt
DeepSeek vs ChatGPT - how do they compare?,Unknown,2025-01-28,BBC,https://www.bbc.com/news/articles/cqx9zn27700o,DeepSeek_vs_ChatGPT_-_how_do_they_compare?.txt
"Be careful with DeepSeek, Australia says - so is it safe to use?",Unknown,2025-01-29,BBC,https://www.bbc.com/news/articles/cx2k7r5nrvpo,"Be_careful_with_DeepSeek,_Australia_says_-_so_is_i.txt"
"India AI: As DeepSeek and ChatGPT surge, is Delhi falling behind?",Unknown,2025-02-18,BBC,https://www.bbc.com/news/articles/cp8qglr9r74o,"India_AI:_As_DeepSeek_and_ChatGPT_surge,_is_Delhi_.txt"
Nvidia says AI chip sales strong despite DeepSeek fears,Unknown,2025-02-27,BBC,https://www.bbc.com/news/articles/c17qqgwdk78o,Nvidia_says_AI_chip_sales_strong_despite_DeepSeek_.txt
How DeepSeek is shaking up the world of AI,Unknown,,BBC,https://www.bbc.com/audio/play/w3ct681k,How_DeepSeek_is_shaking_up_the_world_of_AI.txt
Nvidia and Microsoft shares steady after DeepSeek AI app shock,Unknown,2025-01-28,BBC,https://www.bbc.com/news/articles/c4gpq01rvd4o,Nvidia_and_Microsoft_shares_steady_after_DeepSeek_.txt
OpenAI says Chinese rivals using its work for their AI apps,Unknown,2025-01-29,BBC,https://www.bbc.com/news/articles/c9vm1m8wpr9o,OpenAI_says_Chinese_rivals_using_its_work_for_thei.txt
DeepSeek AI shakes American swagger and upends assumptions,Unknown,2025-01-28,BBC,https://www.bbc.com/news/articles/cd643wx888qo,DeepSeek_AI_shakes_American_swagger_and_upends_ass.txt
Watch DeepSeek AI bot respond to question about China,Unknown,,BBC,https://www.bbc.com/news/videos/c77rd5ddxn8o,Watch_DeepSeek_AI_bot_respond_to_question_about_Ch.txt
DeepSeek: Is China's AI tool as good as it seems?,Unknown,2025-01-27,BBC,https://www.bbc.com/news/articles/cx2jxvn0r51o,DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?.txt
DeepSeek: How China's 'AI heroes' overcame US curbs to stun Silicon Valley,Unknown,2025-01-28,BBC,https://www.bbc.com/news/articles/czepw096wy4o,DeepSeek:_How_China's_'AI_heroes'_overcame_US_curb.txt
UK will not be able to resist China's tech dominance,Unknown,2025-01-28,BBC,https://www.bbc.com/news/articles/c0rq0vyd549o,UK_will_not_be_able_to_resist_China's_tech_dominan.txt
World leaders set to vie for AI domination at Paris summit,Unknown,2025-02-06,BBC,https://www.bbc.com/news/articles/c17evw0k8g8o,World_leaders_set_to_vie_for_AI_domination_at_Pari.txt
What to Know About DeepSeek and How It Is Upending A.I.,Cade Metz,2025-01-27,THe New York Times,https://www.nytimes.com/2025/01/27/technology/what-is-deepseek-china-ai.html,What_to_Know_About_DeepSeek_and_How_It_Is_Upending.txt
First Impressions of DeepSeek’s A.I. Chatbot,Eli Tan,2025-01-27,THe New York Times,https://www.nytimes.com/2025/01/27/technology/deepseek-ai-chatbot-first-impressions.html,First_Impressions_of_DeepSeek’s_A.I._Chatbot.txt
Why DeepSeek Could Change What Silicon Valley Believes About A.I.,Kevin Roose,2025-01-28,THe New York Times,"https://www.nytimes.com/2025/01/28/technology/china-deepseek-ai-silicon-valley.html#:~:text=But%20DeepSeek's%20results%20show%20that,in%20a%20matter%20of%20weeks.",Why_DeepSeek_Could_Change_What_Silicon_Valley_Beli.txt
"Inside China, DeepSeek Provides a National Mic Drop Moment",Li Yuan,2025-01-28,THe New York Times,https://www.nytimes.com/2025/01/28/business/deepseek-china-reaction.html,"Inside_China,_DeepSeek_Provides_a_National_Mic_Dro.txt"
Who Is the Founder of the A.I. Start-Up DeepSeek?,Paul Mozur,2025-01-29,THe New York Times,https://www.nytimes.com/2025/01/29/business/deepseek-china-liang-wenfeng.html,Who_Is_the_Founder_of_the_A.I._Start-Up_DeepSeek?.txt
Meta Engineers See Vindication in DeepSeek’s Apparent Breakthrough,"Cade Metz, Mike Isaac",2025-01-29,THe New York Times,https://www.nytimes.com/2025/01/29/technology/meta-deepseek-ai-open-source.html,Meta_Engineers_See_Vindication_in_DeepSeek’s_Appar.txt
OpenAI Says DeepSeek May Have Improperly Harvested Its Data,Cade Metz,2025-01-29,THe New York Times,https://www.nytimes.com/2025/01/29/technology/openai-deepseek-data-harvest.html,OpenAI_Says_DeepSeek_May_Have_Improperly_Harvested.txt
They Invested Billions. Then the A.I. Script Got Flipped.,Erin Griffith,2025-01-29,THe New York Times,https://www.nytimes.com/2025/01/29/technology/deepseek-ai-startups-venture-capital.html,They_Invested_Billions._Then_the_A.I._Script_Got_F.txt
"DeepSeek’s Answers Include Chinese Propaganda, Researchers Say",Steven Lee Myers,2025-01-31,THe New York Times,https://www.nytimes.com/2025/01/31/technology/deepseek-chinese-propaganda.html,"DeepSeek’s_Answers_Include_Chinese_Propaganda,_Res.txt"
DeepSeek Is a Win for China in the A.I. Race. Will the Party Stifle It?,"David Pierson, Berry Wang",2025-02-02,THe New York Times,https://www.nytimes.com/2025/02/02/world/asia/deepseek-china-ai-censorship.html,DeepSeek_Is_a_Win_for_China_in_the_A.I._Race._Will.txt
China Challenges Silicon Valley for A.I. Dominance,"Natalie Kitroeff, Kevin Roose, Shannon M. Lin, Clare Toeniskoetter, Alex Stern, Caitlin O Keefe, Will Reid, Marc Georges, Chris Haxel, Paige Cowett",2025-02-03,THe New York Times,https://www.nytimes.com/2025/02/03/podcasts/the-daily/china-ai-deepseek.html,China_Challenges_Silicon_Valley_for_A.I._Dominance.txt
DeepSeek Serves as a Warning About Big Tech - The New York Times,Lina M. Khan,2025-02-04,THe New York Times,https://www.nytimes.com/2025/02/04/opinion/deepseek-ai-big-tech.html,DeepSeek_Serves_as_a_Warning_About_Big_Tech_-_The_.txt
Is Artificial Intelligence Really Worth the Hype?,Jeff Sommer,2025-02-07,THe New York Times,https://www.nytimes.com/2025/02/07/business/ai-deepseek-nvidia-tesla.html,Is_Artificial_Intelligence_Really_Worth_the_Hype?.txt
What DeepSeek? Big Tech Keeps Its A.I. Building Boom Alive.,Karen Weise,2025-02-08,THe New York Times,https://www.nytimes.com/2025/02/08/technology/deepseek-data-centers-ai.html,What_DeepSeek?_Big_Tech_Keeps_Its_A.I._Building_Bo.txt
What DeepSeek’s Success Says About China’s Ability to Nurture Talent,Vivian Wang,2025-02-10,THe New York Times,https://www.nytimes.com/2025/02/10/world/asia/china-deepseek-education.html,What_DeepSeek’s_Success_Says_About_China’s_Ability.txt
How Did DeepSeek Build Its A.I. With Less Money?,Cade Metz,2025-02-12,THe New York Times,https://www.nytimes.com/2025/02/12/technology/deepseek-ai-chip-costs.html,How_Did_DeepSeek_Build_Its_A.I._With_Less_Money?.txt
"DeepSeek Doesn’t Scare OpenAI, Thanks to the ‘Jevons Paradox’",Talmon Joseph Smith,2025-02-14,THe New York Times,https://www.nytimes.com/2025/02/14/business/deepseek-openai-jevons-paradox.html,"DeepSeek_Doesn’t_Scare_OpenAI,_Thanks_to_the_‘Jevo.txt"
"South Korea Bans Downloads of DeepSeek, the Chinese A.I. App","Meaghan Tobin, Jin Yu Young",2025-02-17,THe New York Times,https://www.nytimes.com/2025/02/17/business/south-korea-deepseek-china-ai.html,"South_Korea_Bans_Downloads_of_DeepSeek,_the_Chines.txt"
A shocking Chinese AI advancement called DeepSeek is sending US stocks plunging,"David Goldman, Matt Egan",2025-01-27,CNN,https://www.cnn.com/2025/01/27/tech/deepseek-stocks-ai-china,A_shocking_Chinese_AI_advancement_called_DeepSeek_.txt
"What is DeepSeek, the Chinese AI startup that shook the tech world?",David Goldman,2025-01-27,CNN,https://www.cnn.com/2025/01/27/tech/deepseek-ai-explainer,"What_is_DeepSeek,_the_Chinese_AI_startup_that_shoo.txt"
DeepSeek just blew up the AI industry’s narrative that it needs more money and power,Allison Morrow,2025-01-28,CNN,https://www.cnn.com/2025/01/28/business/deepseek-ai-nvidia-nightcap,DeepSeek_just_blew_up_the_AI_industry’s_narrative_.txt
DeepSeek chaos suggests ‘America First’ may not always win,Matt Egan,2025-01-28,CNN,https://www.cnn.com/2025/01/28/tech/deepseek-trump-ai,DeepSeek_chaos_suggests_‘America_First’_may_not_al.txt
China celebrates DeepSeek’s breakout AI success as tech race heats up,Simone Mccarthy,2025-01-28,CNN,https://www.cnn.com/2025/01/28/china/china-deepseek-ai-success-tech-intl-hnk,China_celebrates_DeepSeek’s_breakout_AI_success_as.txt
Analysis: DeepSeek’s AI is giving the world a window into Chinese censorship and information control,Simone Mccarthy,2025-01-29,CNN,https://www.cnn.com/2025/01/29/china/deepseek-ai-china-censorship-moderation-intl-hnk,Analysis:_DeepSeek’s_AI_is_giving_the_world_a_wind.txt
Why DeepSeek could mark a turning point for Silicon Valley on AI,Clare Duffy,2025-01-29,CNN,https://www.cnn.com/2025/01/29/tech/deepseek-silicon-valley-ai,Why_DeepSeek_could_mark_a_turning_point_for_Silico.txt
Australia bans DeepSeek on government devices over security concerns,Unknown,2025-02-04,CNN,https://www.cnn.com/2025/02/04/business/australia-deepseek-ban-security-concerns-intl,Australia_bans_DeepSeek_on_government_devices_over.txt
US lawmakers propose bill to ban DeepSeek from government devices,Clare Duffy,2025-02-06,CNN,https://www.cnn.com/2025/02/06/tech/deepseek-ai-us-ban-bill,US_lawmakers_propose_bill_to_ban_DeepSeek_from_gov.txt
DeepSeek hasn’t just disrupted OpenAI. Chinese tech giants are being upended too,John Liu,2025-02-10,CNN,https://www.cnn.com/2025/02/10/tech/china-deepseek-ai-disruption-hnk-intl,DeepSeek_hasn’t_just_disrupted_OpenAI._Chinese_tec.txt
"The real hype behind DeepSeek, according to AI experts",Lisa Eadicicco,2025-02-14,CNN,"https://www.cnn.com/2025/02/14/tech/deepseek-ai-openai-hype#:~:text=What%20makes%20DeepSeek%20significant%20is,process%20as%20it%20answers%20questions.","The_real_hype_behind_DeepSeek,_according_to_AI_exp.txt"
"AI giants Baidu, OpenAI offer their chatbots for free in response to DeepSeek’s advance",John Liu,2025-02-14,CNN,https://www.cnn.com/2025/02/14/tech/china-baidu-deepseek-ai-competition-free-services-intl-hnk,"AI_giants_Baidu,_OpenAI_offer_their_chatbots_for_f.txt"
"We tried out DeepSeek. It worked well, until we asked it about Tiananmen Square and Taiwan",Donna Lu,2025-01-28,The Guardian,https://www.theguardian.com/technology/2025/jan/28/we-tried-out-deepseek-it-works-well-until-we-asked-it-about-tiananmen-square-and-taiwan,"We_tried_out_DeepSeek._It_worked_well,_until_we_as.txt"
Who is behind DeepSeek and how did it achieve its AI ‘Sputnik moment’?,Amy Hawkins,2025-01-28,The Guardian,https://www.theguardian.com/technology/2025/jan/28/who-is-behind-deepseek-and-how-did-it-achieve-its-ai-sputnik-moment,Who_is_behind_DeepSeek_and_how_did_it_achieve_its_.txt
The Guardian,Unknown,,The Guardian,https://www.theguardian.com/technology/deepseek,The_Guardian.txt
What is DeepSeek and why did US tech stocks fall?,Robert Booth,2025-01-27,The Guardian,https://www.theguardian.com/business/2025/jan/27/what-is-deepseek-and-why-did-us-tech-stocks-fall,What_is_DeepSeek_and_why_did_US_tech_stocks_fall?.txt
The Chinese AI companies that could match DeepSeek’s impact,Amy Hawkins,2025-02-03,The Guardian,https://www.theguardian.com/technology/2025/feb/03/deepseek-chinese-ai-company-competitors-chatgpt,The_Chinese_AI_companies_that_could_match_DeepSeek.txt
DeepSeek has ripped away AI’s veil of mystique. That’s the real reason the tech bros fear it,Kenan Malik,2025-02-02,The Guardian,https://www.theguardian.com/commentisfree/2025/feb/02/deepseek-ai-veil-of-mystique-tech-bros-fear,DeepSeek_has_ripped_away_AI’s_veil_of_mystique._Th.txt
DeepSeek hit with ‘large-scale’ cyber-attack after AI chatbot tops app stores,Dara Kerr,2025-01-27,The Guardian,https://www.theguardian.com/technology/2025/jan/27/deepseek-cyberattack-ai,DeepSeek_hit_with_‘large-scale’_cyber-attack_after.txt
"DeepSeek advances could heighten safety risk, says ‘godfather’ of AI",Dan Milmo,2025-01-29,The Guardian,https://www.theguardian.com/technology/2025/jan/29/deepseek-artificial-intelligence-ai-safety-risk-yoshua-bengio,"DeepSeek_advances_could_heighten_safety_risk,_says.txt"
DeepSeek banned from Australian government devices amid national security concerns,Sarah Basford Canales,2025-02-04,The Guardian,https://www.theguardian.com/technology/2025/feb/04/deepseek-banned-from-australian-government-devices-over-national-security-concerns,DeepSeek_banned_from_Australian_government_devices.txt
"DeepSeek, ChatGPT, Grok … which is the best AI assistant? We put them to the test",Dan Milmo,2025-02-01,The Guardian,https://www.theguardian.com/technology/2025/feb/01/deepseek-chatgpt-grok-gemini-claude-meta-ai-which-is-the-best-ai-assistant-we-put-them-to-the-test,"DeepSeek,_ChatGPT,_Grok_…_which_is_the_best_AI_ass.txt"
Was this the week DeepSeek started the slow unwinding of the AI bet?,"Robert Booth, Dan Milmo",2025-02-01,The Guardian,https://www.theguardian.com/technology/2025/feb/01/was-this-the-week-deepseek-started-the-slow-unwinding-of-the-ai-bet,Was_this_the_week_DeepSeek_started_the_slow_unwind.txt
US tech stocks partly recover after Trump says DeepSeek AI chatbot is ‘wake-up call’,Mark Sweney,2025-01-28,The Guardian,https://www.theguardian.com/technology/2025/jan/28/donald-trump-china-deepseek-ai-chatbot-shares,US_tech_stocks_partly_recover_after_Trump_says_Dee.txt
"How ChatGPT, Gemini and DeepSeek deal with Tiananmen Square and Taiwan questions – video",Unknown,2025-01-28,The Guardian,https://www.theguardian.com/technology/video/2025/jan/28/how-chatgpt-gemini-and-deepseek-deal-with-tiananmen-square-and-taiwan-questions-video,"How_ChatGPT,_Gemini_and_DeepSeek_deal_with_Tiananm.txt"
OpenAI ‘reviewing’ allegations that its AI models were used to make DeepSeek,"Mark Sweney, Dan Milmo",2025-01-29,The Guardian,https://www.theguardian.com/technology/2025/jan/29/openai-chatgpt-deepseek-china-us-ai-models,OpenAI_‘reviewing’_allegations_that_its_AI_models_.txt
‘Sputnik moment’: $1tn wiped off US stocks after Chinese firm unveils AI chatbot,"Dan Milmo, Amy Hawkins, Robert Booth, Julia Kollewe",2025-01-27,The Guardian,https://www.theguardian.com/business/2025/jan/27/tech-shares-asia-europe-fall-china-ai-deepseek,‘Sputnik_moment’:_$1tn_wiped_off_US_stocks_after_C.txt
Diving into DeepSeek: inside the 7 February Guardian Weekly,Isobel Montgomery,2025-02-05,The Guardian,https://www.theguardian.com/news/2025/feb/05/diving-into-deepseek-inside-the-7-february-guardian-weekly,Diving_into_DeepSeek:_inside_the_7_February_Guardi.txt
DeepSeek blocked from some app stores in Italy amid questions on data use,"Robert Booth, Jakub Krupa, Angela Giuffrida",2025-01-29,The Guardian,https://www.theguardian.com/technology/2025/jan/29/deepseek-blocked-some-app-stores-italy-questions-data-use,DeepSeek_blocked_from_some_app_stores_in_Italy_ami.txt
"DeepSeek: cheap, powerful Chinese AI for all. What could possibly go wrong?",John Naughton,2025-02-01,The Guardian,https://www.theguardian.com/technology/2025/feb/01/ai-deepseek-cheap-china-google-apple,"DeepSeek:_cheap,_powerful_Chinese_AI_for_all._What.txt"
"As DeepSeek upends the AI industry, one group is urging Australia to embrace the opportunity",Josh Taylor,2025-02-02,The Guardian,https://www.theguardian.com/technology/2025/feb/02/as-deepseek-upends-the-ai-industry-one-group-is-urging-australia-to-embrace-the-opportunity,"As_DeepSeek_upends_the_AI_industry,_one_group_is_u.txt"
"Oh, I’m sorry, tech bros – did DeepSeek copy your work? I can hardly imagine your distress | Marina Hyde",Marina Hyde,2025-01-31,The Guardian,https://www.theguardian.com/commentisfree/2025/jan/31/tech-bros-deepseek-china-sam-altman-openai,"Oh,_I’m_sorry,_tech_bros_–_did_DeepSeek_copy_your_.txt"
How do you solve a problem like DeepSeek?,Blake Montgomery,2025-01-28,The Guardian,https://www.theguardian.com/technology/2025/jan/28/deepseek-openai-elon-musk-don-lemon-crypto-kalshi,How_do_you_solve_a_problem_like_DeepSeek?.txt
First Thing: Donald Trump calls China’s DeepSeek AI chatbot a ‘wake-up call’,Clea Skopeliti,2025-01-28,The Guardian,https://www.theguardian.com/us-news/2025/jan/28/first-thing-donald-trump-calls-chinas-deepseek-ai-chatbot-a-wake-up-call,First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A.txt
The DeepSeek panic reveals an AI world ready to blow | James Vincent,James Vincent,2025-01-28,The Guardian,https://www.theguardian.com/commentisfree/2025/jan/28/deepseek-r1-ai-world-chinese-chatbot-tech-world-western,The_DeepSeek_panic_reveals_an_AI_world_ready_to_bl.txt
What will Washington do about Chinese startup DeepSeek and its AI chatbot?,Blake Montgomery,2025-01-28,The Guardian,https://www.theguardian.com/technology/2025/jan/28/deepseek-ai-us-response,What_will_Washington_do_about_Chinese_startup_Deep.txt
Tech billionaires lost almost $100bn in stock market selloff sparked by DeepSeek,Edward Helmore,2025-01-28,The Guardian,https://www.theguardian.com/technology/2025/jan/28/deepseek-selloff,Tech_billionaires_lost_almost_$100bn_in_stock_mark.txt
Experts urge caution over use of Chinese AI DeepSeek,"Robert Booth, Dan Milmo",2025-01-28,The Guardian,https://www.theguardian.com/technology/2025/jan/28/experts-urge-caution-over-use-of-chinese-ai-deepseek,Experts_urge_caution_over_use_of_Chinese_AI_DeepSe.txt
Nvidia beats Wall Street expectations in first earnings after DeepSeek’s AI debut,Johana Bhuiyan,2025-02-26,The Guardian,https://www.theguardian.com/technology/2025/feb/26/nvidia-fourth-quarter-earnings-deepseek,Nvidia_beats_Wall_Street_expectations_in_first_ear.txt
