Word,Frequency,Sentiment Score
dramatic,6,-0.4333333333333333
sorry,6,-0.5
mere,3,-0.5
vague,1,-0.5
fail,9,-0.5
guilty,1,-0.5
needless,1,-0.5
random,1,-0.5
vulnerable,4,-0.5
merely,3,-0.5
exaggerated,1,-0.5
startlingly,1,-0.5
weird,1,-0.5
mediocre,2,-0.5
ill,1,-0.5
infamous,1,-0.5
blindly,1,-0.5
illegal,2,-0.5
unlikely,5,-0.5
wrong,4,-0.5
expensive,17,-0.5
illegally,1,-0.5
fails,1,-0.5
wary,2,-0.5
skeptical,2,-0.5
difficult,10,-0.5
questionable,1,-0.5
vaguely,1,-0.5
destructive,1,-0.6
crazy,2,-0.6
cutting,1,-0.6
disappointment,1,-0.6
artificial,107,-0.6
cold,5,-0.6
awkward,3,-0.6
dangerous,6,-0.6
impossible,4,-0.6666666666666666
bad,10,-0.6999999999999998
painful,1,-0.7
anger,1,-0.7
ugly,1,-0.7
stupid,1,-0.7999999999999999
base,36,-0.8
idiot,1,-0.8
rank,9,-0.8
hate,1,-0.8
violent,1,-0.8
brutally,1,-0.875
shockingly,2,-1.0
terrible,1,-1.0
